"Nid","School code","School name","Location","Country","Intl GPA","US GPA","Notes"
"210","","Shivajirao S Jondhale College of Engineering","","India","10/9/8/7","4.0/3.6/3.0/2.0","O = 10; A = 9; B = 8; C = 7"
"211","","Shri Guru Gobind Singhji Institute of Engineering and Technology","","India","10/9/8/7/6/5/4","4.0/3.7/3.3/3.0/2.3/2.0/1.0","A+ = 10; A = 9; B+ = 8; B = 7; C+ = 6; C = 5"
"212","","Shri Ramdeobaba College of Engineering and Management","","India","10/9/8/7/6","4.0/3.6/3.0/2.7/2.0","AA = 10; AB = 9; BB = 8; BC = 7; CC = 6"
"213","","Siddaganga Institute of Technology","","India","","","Use the Letter Grade Worksheet; S = A+ ; E = F"
"214","","SIES Graduate School of Technology","","India","10/9/8/7","4.0/3.7/3.0/2.0","O = 10; A = 9; B = 8; C = 7"
"215","","Sikkim Manipal University","","India","","","Use the Letter Grade Worksheet; S = A+ ; E = F"
"216","","Siksha O Anusandhan University","","India","","","Use the Letter Grade Worksheet; E = A+"
"217","","Sinhgad Institute of Technology","","India","100/60/55/50/40","4.0/3.6/3.3/3.0/2.0","Distinction = 66+ ; First Class = 60-65; Higher 2nd Class = 55-59; 2nd Class = 50-54; Pass = 40-49"
"218","","Sri Chandrasekharendra Saraswathi Viswa Mahavidyalaya","","India","","","Use the Letter Grade Worksheet; S = A+ ; E = F"
"219","","Sri Jayachamarajendra College of Engineering","","India","10/7.75/6.75/5","4.0/3.6/3.0/2.0","First Class with Distinction = 7.75+; First Class = 6.75-7.74; Second Class = 5.00-6.74
Or use the Letter Grade Worksheet; S = A+ ; E = F"
"399","","SRM Institute of Science and Technology","","India","10/9/8/7/6/5","4.0/3.9/3.6/3.3/3.0/2.0","10 = O, 9 = A+, 8 = A, 7 = B+, 6 = B, 5 = C"
"220","","SRM University","","India","10/9/8.5/8/7.5/7/6.5","4.0/3.7/3.3/3.0/2.7/2.3/2.0","A+ = 10; A = 9.5; A- = 9.0; B+ = 8.5; B = 8.0; B- = 7.5; C+ = 7.0; C = 6.5"
"221","","St Francis Institute of Technology","","India","100/60/50/40","4.0/3.6/3.0/2.0","First Class = 60+ ; Second Class = 50-60; Pass = 40-50"
"412","","Symbiosis International University","Pune","India","10/9/8/7/6/5","4.0/3.9/3.6/3.3/3.0/2.0","10 = O, 9 = A+, 8 = A, 7 = B+, 6 = B, 5 = C"
"222","","Thadomal Shahani Engineering College","","India","10/9/8/7/6/5","4.0/3.7/3.3/3.0/2.3/2.0","Outstanding = 10; Excellent = 9; Very Good = 8; Good = 7; Fair = 6; Average = 5"
"223","","Thakur College of Engineering and Technology","","India","100/70/60/50","4.0/3.6/3.0/2.0","Distinction = 70+ ; First Class = 60+ ; 2nd Class = 50-60; Pass = 40-50"
"443","","Thapar Institute of Engineering and Technology","","India","10/8/6","4.0/3.0/2.0","10 = A+ / Outstanding and A / Excellent, 8 = B / Good, 6 = C / Average"
"224","","Thapur University","","India","","","Use the Letter Grade Worksheet; E = F"
"334","","The NorthCap University","","India","","",""
"225","7115374","University of Delhi","New Delhi","India","100/75/60/50","4.0/3.6/3.0/2.0","Distinction = 75+ ; First Class = 60-75; 2nd Class = 50-60; Pass = 40-50"
"226","7119447","University of Kerala, Thiruvananthapuram","","India","10/9/8.5/8/7.5/7/6.5","4.0/3.7/3.5/3.3/3.0/2.7/2.0","10 = S, 9 = A+, 8.5 = A, 8 = B+, 7.5 = B, 7 = C+, 6.5 = C"
"227","7217684","University of Mumbai","Mumbai","India","10/9/8/7","4.0/3.6/3.0/2.0","O = 10 or 80+% ; A = 9 or 75-79.99%; B = 8 or 70-74.99%; C = 7 or 60.00-69.99%"
"383","","University Of Mumbai - Percentage Scale","","India","100/70/60/50","4.0/3.6/3.0/2.0",""
"228","","Uttar Pradesh Technical University","","India","100/60/50","4.0/3.6/3.0","Honors = 75+ ; First Division = 60+ ; 2nd Division = 50+"
"343","","Vasavi College of Engineering","Hyderabad","India","10/9/8/7/6/5","4.0/3.6/3.3/3.0/2.0/1.0","10 = A+, 9 = A, 8 = B+, 7 = B, 6 = C, 5 = D"
"229","7117223","Veermata Jijabai Technological Institute/Victoria Jubilee Technical Institute","Mumbai","India","10/9/8/7/6","4.0/3.6/3.0/2.5/2.0","Course scale is: AA = 10; AB = 9; BB = 8; BC = 7; CC = 6"
"231","","Vidyalankar Institute of Technology","","India","10/9/8/7","4.0/3.6/3.0/2.0","O = 10 or 80+% ; A = 9 or 75-79.99%; B = 8 or 70-74.99%; C = 7 or 60.00-69.99%"
"232","","Vishwakarma Institute of Technology","","India","10/9/8/7/6","4.0/3.6/3.0/2.7/2.0","AA = 10; AB = 9; BB = 8; BC = 7; CC = 6"
"426","","Visvesvaraya National Institute of Technology","Nagpur","India","10/9/8/7/6","4.0/3.7/3.0/2.7/2.0","10 = AA, 9 = AB, 8 = BB, 7 = BC, 6 = CC"
"233","","Visvesvaraya National Institute of Technology","","India","","","Use the Letter Grade Worksheet; AB = A- ; BC = B- ; CD = C-"
"323","7211770","Visvesvaraya Technological University - 100-point scale","Belgaum","India","100/70/60","4.0/3.6/3.0","First Class with Distinction = 70% and above; First Class = 60 to 69%; Second Class = below 60%"
"401","","Visvesvaraya Technological University 10-point","","India","10/9/8/7/6","4.0/3.9/3.6/3.0/2.0","10 = S+, 9 = S, 8 = A, 7 = B, 6 = C"
"230","","VIT (Vellore Institute of Technology)","","India","10/9/8/7/6","4.0/3.6/3.0/2.0/1.0","S = 10; A = 9; B = 8; C = 7"
"347","","Viva Institute of Technology","","India","10/9/8/7/6/5","4.0/3.7/3.0/2.0/1.0/0",""
"235","","Vivekanand Education Society's Institute of Technology","","India","10/9/8/7","4.0/3.6/3.0/2.0","O = 10; A = 9; B = 8; C = 7"
"447","","VNR Vignana Jyothi Institute of Engineering & Technology","","India","10/7.5/6.5/5.5","4.0/3.6/3.0/2.0","7.5+=First Class with Distinction; 6.5-7.5=First Class, 5.5-6.5=Second Class"
"354","","VR Siddhartha Engineering College","Kakinada","India","10/9/8/7/6/5","4.0/3.9/3.6/3.3/3.0/2.0","10=Ex, 9=A+, 8=A, 7=B+, 6=3.0, 5=2.0"
"236","","Walchand College of Engineering, Sangli","","India","","","Use the Letter Grade Worksheet; AB = A- ; BC = B- ; CD = C-"
"237","","Watumull Institute of Electronics Engineering","","India","","","Use the Letter Grade Worksheet; O = A+ ; E = F"
"238","7217619","Amirkabir University of Technology","Tehran","Iran","20/17/14/12/10","4.0/3.6/3.0/2.0/1.0","This is the DEFAULT Iran 20 Point Scale"
"242","","DEFAULT Iran - 100 Point Scale","","Iran","100/90/89/80/70","4.0/3.6/3.5/3.0/2.0","A = 90-100; B = 80-89; C = 70-79"
"241","","DEFAULT Iran - 20 Point Scale","","Iran","20/17/14/12/10","4.0/3.6/3.0/2.0/1.0","A = 17-20; B = 14-16; C = 12-13; D = 10-11"
"324","7110204","Iran Univesity of Science and Technology","Tehran","Iran","20/17/14/12/10","4.0/3.6/3.0/2.0/1.0","A = 17-20; B = 14-16; C = 12-13; D = 10-11"
"321","7211622","Islamic Azad University","Tehran","Iran","20/17/14/12/10","4.0/3.6/3.0/2.0/1.0","A = 17-20; B = 14-16; C = 12-13; D = 10-11"
"455","","Payame Noor University","","Iran","20/17/14/12/10","4.0/3.6/3.0/2.0/1.0","A = 17-20; B = 14-16; C = 12-13; D = 10-11"
"456","","Research Institute for Earth Science, Geological Survey of Iran","","Iran","20/17/14/12/10","4.0/3.6/3.0/2.0/1.0","A = 17-20; B = 14-16; C = 12-13; D = 10-11"
"454","","Shahid Beheshti University","","Iran","20/17/14/12/10","4.0/3.6/3.0/2.0/1.0","A = 17-20; B = 14-16; C = 12-13; D = 10-11"
"239","7110392","Sharif University of Technology","Tehran","Iran","20/17/14/12/10","4.0/3.6/3.0/2.0/1.0","This is the DEFAULT Iran 20 Point Scale"
"240","7110039","University of Tehran","Tehran","Iran","20/17/14/12/10","4.0/3.6/3.0/2.0/1.0","This is the DEFAULT Iran 20 Point Scale"
"243","9804201","DEFAULT Iraq - 100 Point Scale","","Iraq","100/90/80/70","4.0/3.6/3.0/2.0",""
"244","9804301","DEFAULT Italy","","Italy","30/28/27/25/24/20","4.0/3.6/3.5/3.0/2.9/2.0",""
"446","","DEFAULT Japan","","Japan","100/80/70/60","4.0/3.6/3.0/2.0","A=100—90, B=79—70, C=69-60"
"451","","Ehime University","","Japan","100/90/80/70/60","4.0/3.7/3.3/3.0/2.0","90-100 = Outstanding; 80-89 = Excellent; 70-79 =  Good; 60-69 = Satisfactory"
"352","7117695","Osaka University","Osaka","Japan","100/80/70/60","4.0/3.6/3.0/2.0","S=100—90, A=89—80, B=79—70, C=69-60"
"468","","University of Toyko","","Japan","100/80/70/60","4.0/3.6/3.0/2.0","A=100—80, B=79—70, C=69-60"
"245","9804501","DEFAULT Jordan","","Jordan","100/85/76/68/60","4.0/3.6/3.0/2.0/1.0",""
"247","","Jordan University of Science and Technology - Grad","","Jordan","100/88/80/75/70","4.0/3.6/3.0/2.0/1.0","Excellent = 88-100; Very Good = 80-88; Good = 75-80; Pass = 70-75"
"246","7213377","Jordan University of Science and Technology - Undergrad","Irbid","Jordan","100/90/80/70","4.0/3.6/3.0/2.0","Excellent = 90-100; Very Good = 80-89; Good = 70-79; Fair = 60-69"
"248","","The Hashemite University","","Jordan","4.0/3.7/3.3/3.0/2.7/2.3/2.0","4.0/3.7/3.3/3.0/2.7/2.3/2.0","Check to see if scale matches US 4.0 scale. If so, it is OK to use that school's 4.0 CGPA"
"480","","DEFAULT Kazakhstan","","Kazakhstan","5/4/3","4.0/3.0/2.0","5 = A, 4 = B, 3 = C"
"249","","Nazarbayev University","","Kazakhstan","4.0/3.7/3.3/3.0/2.7/2.3/2.0","4.0/3.7/3.3/3.0/2.7/2.3/2.0","Check to see if scale matches US 4.0 scale. If so, it is OK to use that school's 4.0 CGPA"
"349","","Jomo Kenyatta University of Agriculture and Technology","","Kenya","100/70/60/50/40","4.0/3.6/3.0/2.0/1.0","70-100% = A (Excellent), 60-69% = B (Good), 50-59% = C (Satisfactory), 40-49% = D (Pass)"
"350","","Moi University","","Kenya","100/70/60/50/40","4.0/3.6/3.0/2.0/1.0","70-100% = A (Excellent), 60-69% = B (Good), 50-59% = C (Satisfactory), 40-49% = D (Pass)"
"250","","Chung-Ang University","Seoul","Korea","4.5/4.0/3.5/3.0/2.5/2.0","4.0/3.7/3.3/3.0/2.3/2.0","A+ = 4.5; A = 4.0; B+ = 3.5; B = 3.0; C+ = 2.5; C = 2.0"
"251","","DEFAULT Korea - 100 Point Scale","","Korea","100/90/80/70","4.0/3.6/3.0/2.0",""
"253","","DEFAULT Korea - 4.3 Point Scale","","Korea","4.3/4.0/3.0/2.0","4.0/3.7/3.0/2.0",""
"252","","DEFAULT Korea - 4.5 Point Scale","","Korea","4.5/4.0/3.0/2.0","4.0/3.6/3.0/2.0",""
"471","","Hanyang University","","Korea","4.5/4.0/3.5/3.0/2.0","4.0/3.9/3.5/3.0/2.0","4.5=A, 4=A, 3.5=B+, 3=B, 2=C"
"254","7124836","Inha University","Inchon","Korea","4.5/4.0/3.5/3.0/2.5/2.0","4.0/3.7/3.3/3.0/2.3/2.0","A+ = 4.5; A = 4.0; B+ = 3.5; B = 3.0; C+ = 2.5; C = 2.0"
"255","7123551","Kookmin University","Seoul","Korea","4.5/4.0/3.5/3.0/2.5/2","4.0/3.7/3.3/3.0/2.3/2.0",""
"470","","Korea Advanced Institute of Science and Technology","","Korea","4.3/4.0/3.7/3.3/3.0/2.0","4.0/3.9/3.7/3.3/3.0/2.0","Or you can take the GPA as-is"
"256","7110183","Korea University","Seoul","Korea","4.5/4.0/3.5/3.0/2.5/2.0","4.0/3.7/3.3/3.0/2.3/2.0","A+ = 4.5; A = 4.0; B+ = 3.5; B = 3.0; C+ = 2.5; C = 2.0"
"257","7215447","Kwangwoon University","Seoul","Korea","4.5/4.0/3.5/3.0/2.5/2.0","4.0/3.7/3.3/3.0/2.3/2.0","A+ = 4.5; A = 4.0; B+ = 3.5; B = 3.0; C+ = 2.5; C = 2.0"
"258","","Macau University of Science and Technology","","Korea","4.0/3.7/3.3/3.0/2.7/2.3/2.0","4.0/3.7/3.3/3.0/2.7/2.3/2.0","Check to see if scale matches US 4.0 scale. If so, it is OK to use that school's 4.0 CGPA"
"259","","Republic of Korea Naval Academy","","Korea","4.3/4.0/3.0/2.0","4.0/3.7/3.0/2.0","A+ = 4.3; A = 4.0; A- = 3.7; B+ = 3.3; B = 3.0; B- = 2.7; C+ = 2.3; C = 2.0"
"260","7114337","Seoul National University","Seoul","Korea","4.3/4.0/3.0/2.0","4.0/3.7/3.0/2.0","A+ = 4.3; A = 4.0; A- = 3.7; B+ = 3.3; B = 3.0; B- = 2.7; C+ = 2.3; C = 2.0"
"261","7114210","Sungkyunkwan University","Seoul","Korea","4.5/4.0/3.5/3.0/2.5/2.0","4.0/3.7/3.3/3.0/2.3/2.0","A+ = 4.5; A = 4.0; B+ = 3.5; B = 3.0; C+ = 2.5; C = 2.0"
"262","7120001","Yonsei University","Seoul","Korea","4.3/4.0/3.0/2.0","4.0/3.7/3.0/2.0","A+ = 4.3; A = 4.0; A- = 3.7; B+ = 3.3; B = 3.0; B- = 2.7; C+ = 2.3; C = 2.0"
"263","7110318","Kuwait University","Khaldieh","Kuwait","4.0/3.7/3.3/3.0/2.7/2.3/2.0","4.0/3.7/3.3/3.0/2.7/2.3/2.0","Check to see if scale matches US 4.0 scale. If so, it is OK to use that school's 4.0 CGPA"
"264","7120008","American University of Beirut","Beirut","Lebanon","4.0/3.7/3.3/3.0/2.7/2.3/2.0","4.0/3.7/3.3/3.0/2.7/2.3/2.0","Check to see if scale matches US 4.0 scale. If so, it is OK to use that school's 4.0 CGPA"
"442","","DEFAULT Lebanon - 100-point scale","","Lebanon","100/90/80/70","4.0/3.6/3.0/2.0","A = 90-100 , B = 8-0-89, C = 70-79"
"400","","DEFAULT Lebanon - 20-point scale","","Lebanon","20/16/14/12/10","4.0/3.6/3.3/3.0/2.0","A+= 16-20, A=14-15.9, B=12=13, C=10-11.9"
"326","","International Islamic University","","Malaysia","100/75/70/65/60/55/50/45/40/35","4.0/3.67/3.33/3.0/2.67/2.33/2.0/1.67/1.33/1.0","80-100=1.0, 75-79=3.67, 70-74=3.33, 65-69=3.0, 60-64=2.67, 55-59=2.33, 50-54=2.0"
"344","","Centro De Ensenanza Tecnica Y Superior","","Mexico","100/90/80/70/60","4.0/3.6/3.0/2.5/2.0","Mexico Default scale"
"355","","DEFAULT Mexico","","Mexico","100/90/80/70/60","4.0/3.6/3.0/2.7/2.0","100=A+, 90=A, 80=B, 70=C+, 60=C"
"407","","DEFAULT Mexico - 10-piont scale","","Mexico","10/9/8/7.5/7","4.0/3.6/3.0/2.7/2.0","10=A+, 9=A, 8=B, 7.5=B-, 7=C"
"404","","DEFAULT Morocco","","Morocco","20/18/16/14/12/10","4.0/3.7/3.3/3.0/2.0/1.7","18-20=A+, 16-17=A, 14-15=B, 12-13=C, 10-11=C-"
"409","","Tribhuvan University, Institute of Engineering","Kathmandu, Central","Nepal","100/80/65/50","4.0/3.6/3.0/2.0","First Class with Distinction = 80-100; First Class = 65-79; Second Class = 45-64"
"265","9805201","DEFAULT Netherlands","","Netherlands","10/8/7/6/5","4/3.7/3.0/2.0/1.0","A+ = 10; A = 9; A- = 8; B = 7; C = 6; D = 5"
"452","","Delft University of Technology","","Netherlands","10/9.5/8.5/7.5/6.5/6","4.0/3.9/3.7/3.3/3.0/2.0","9.5-10 = Excellent; 8.5-9.0 = Very Good; 7.5-8.0 = Good; 6.5-7.0 = Highly Satisfactory; 6.0 = Satisfactory"
"266","7116157","University of Lagos","Lagos","Nigeria","5/4/3/2","4/3/2/1","A = 5.0; B = 4.0; C = 3.0; D = 2.0"
"267","9805501","DEFAULT Pakistan","","Pakistan","100/75/60/40","4.0/3.6/3.0/2.0",""
"268","","DEFAULT Pakistan - Other Traditional Patterns (B.Engr, B.Sc)","","Pakistan","100/60/50","4.0/3.0/2.0",""
"269","7215347","Lahore University of Management Sciences","Lahore","Pakistan","4.0/3.7/3.3/3.0/2.7/2.3/2.0","4.0/3.7/3.3/3.0/2.7/2.3/2.0","Check to see if scale matches US 4.0 scale. If so, it is OK to use that school's 4.0 CGPA"
"270","","National University of Sciences and Technology","","Pakistan","4.0/3.7/3.3/3.0/2.7/2.3/2.0","4.0/3.7/3.3/3.0/2.7/2.3/2.0","Check to see if scale matches US 4.0 scale. If so, it is OK to use that school's 4.0 CGPA"
"271","","University of Engineering and Technology, Lahore","","Pakistan","4.0/3.7/3.3/3.0/2.7/2.3/2.0","4.0/3.7/3.3/3.0/2.7/2.3/2.0","Check to see if scale matches US 4.0 scale. If so, it is OK to use that school's 4.0 CGPA"
"438","","DEFAULT Peru","","Peru","20/17/15/13/12","4.0/3.8/3.5/3.0/2.0","17-20=A+, 15-16=A, 13-14=B, 12=C, 11=D"
"476","","Agyinasare Leadership College","","Philippines","100/94/91/88/80/75","4.0/3.7/3.3/3.0/2.3/2.0","A = 97-100, A- = 94-96, B+ = 91-93, B = 88-90, C+ = 80-84, C = 75-79, D = Below 75"
"477","","DEFAULT Philippines","","Philippines","100/92/85/80/75","4.0/3.6/3.0/2.0/1.0","A = 92-100, B = 85-91, C = 80-84, D = 75-79"
"481","","DEFAULT Poland","","Poland","5.5/5.0/4.0/3.5/3.0/1.0","4.0/3.6/3.0/2.7/2.0/1.0",""
"425","","The Silesian University of Technology","Silesia","Poland","5/4.5/4/3.5/3/2","4.0/3.5/3.0/2.5/2.0/1.0","5 = (Very Good)/A, 4 = (Good)/B/C, 3 = (Satisfactory)D/E, 2 = (Fail)/F"
"406","","DEFAULT Portugal","","Portugal","20/19/15/13/11","4.0/3.9/3.6/3.0/2.0","19-20=A+, 15-18=A, 13-14=B, 11-12=C"
"441","","DEFAULT Russia","","Russia","5.0/4.0/3.0/2.0","4.0/3.0/2.0/1.0","5 = (Excellent)/A, 4 = (Good)/B, 3 = (Satisfactory)C, 2 = (Unsatisfactory)/F, Unit Credit Granted = Pass"
"424","","Saint Petersburg National Research University of Information Technologies, Mechanics and Optics","","Russia","5/4/3/2","4.0/3.0/2.0/1.0","5 = (Excellent)/A, 4 = (Good)/B/C, 3 = (Satisfactory)D/E, 2 = (Unsatisfactory)/F"
"272","","College of Technology at Riyadh","","Saudi Arabia","5/4.5/3.75/2.75/2","4.0/3.7/3.3/3.0/2.0",""
"273","7110067","King Abdulaziz University","Jeddah","Saudi Arabia","5.0/4.5/4.0/3.5/3.0","4.0/3.3/3.0/2.3/2.0","A+ = 5.00; A = 4.75; B+ = 4.50; B = 4.00; C+ = 3.50; C = 3.00"
"274","","King Abdullah University of Science and Technology","","Saudi Arabia","","","Use the Letter Grade Worksheet"
"275","7211339","King Fahd University of Petroleum and Minerals","Dhahran","Saudi Arabia","4.0/3.7/3.3/3.0/2.7/2.3/2.0","4.0/3.7/3.3/3.0/2.7/2.3/2.0","Check to see if scale matches US 4.0 scale. If so, it is OK to use that school's 4.0 CGPA"
"276","7116420","King Saud University","Riyadh","Saudi Arabia","5.0/4.5/4.0/3.5/3.0","4.0/3.3/3.0/2.3/2.0","A+ = 5.00; A = 4.75; B+ = 4.50; B = 4.00; C+ = 3.50; C = 3.00"
"277","","Qassim University","","Saudi Arabia","5.0/4.5/4.0/3.5/3.0","4.0/3.3/3.0/2.3/2.0","A+ = 5.00; A = 4.75; B+ = 4.50; B = 4.00; C+ = 3.50; C = 3.00"
"405","","Taibah University","","Saudi Arabia","5/4.75/4.5/4/3.5/3","4.0/3.7/3.3/3.0/2.7/2.0","5=A+, 4.75=A, 4.5=B+, 4=B, 3.5=C+ 3=C"
"375","","DEFAULT Scotland","","Scotland","100/70/60/50","4.0/3.6/3.0/2.0","A = 70-100; B = 60-69; C = 50-59"
"329","7110491","The University of Edinburgh","Edinburgh","Scotland","100/70/60/50/0","4.0/3.6/3.0/2.0/1.0","Or First Class=3.6 /Second Class, Upper Division=3.0 /Second Class, Lower Division=2.0 /Third Class=1.0"
"418","","University of Glasgow","","Scotland","22/19/17/16/14","4.0/3.7/3.3/3.0/2.3","A1-A5 = Excellent, B1-B3 = Very Good, C1-C3 = Good"
"278","9806171","DEFAULT Singapore","","Singapore","100/90/80/70/60/50","4.0/3.6/3.3/3.0/2.0/1.0",""
"279","","DEFAULT Singapore - 5.0 Point Scale","","Singapore","5.0/4.5/4.0/3.5/3.0/2.5/1.5/1.0","4.0/3.7/3.3/3.0/2.7/2.0/1.3/1.0",""
"280","7115221","National University of Singapore","Singapore","Singapore","5/4.5/4/3.5/3/2.5/2.0","4.0/3.7/3.3/3.0/2.7/2.3/2.0","A+/A = 5.00; A- = 4.50; B+ = 4.00; B = 3.50; B- = 3.00; C+ = 2.50; C = 2.00"
"281","9806201","DEFAULT Spain","","Spain","10/9/7/6/5","4.0/3.7/3.3/3.0/2.0","A = 9-10; B+ = 7-8.99; B = 6-6.99; C = 5-5.99"
"282","","Pompeu Fabra University","","Spain","10/9/7/5","4.0/3.6/3.0/2.0","A = 9-10; B = 7-8.9; C = 5-6.9"
"432","","Universitat Politecnica de Catalunya","","Spain","10/9/7.4/6.5/6.1","4.0/3.9/3.7/3.3/3.0","Per approval from Graduate Division: 10 = 4.0, 9 = 3.9, 7.4 = 3.7, 6.5 = 3.3, 6.1 = 3.0"
"408","","DEFAULT Syria","","Syria","100/90/80/70/60","4.0/3.9/3.6/3.0/2.0","90-100=A+, 80-89=A, 70-79=B, 60-69=C"
"283","7218407","Chang Gung University","Tao-yuan","Taiwan","4.0/3.7/3.3/3.0/2.7/2.3/2.0","4.0/3.7/3.3/3.0/2.7/2.3/2.0","Check to see if scale matches US 4.0 scale. If so, it is OK to use that school's 4.0 CGPA"
"457","","Chang Jung Christian University","","Taiwan","100/80/70/60","4.0/3.6/3.0/2.0","80-100 = A/Excellent; 70-79 = B/Good; 60-69 = C/Fair"
"359","7213761","Chinese Culture University","Taipei","Taiwan","100/80/70/60","4.0/3.6/3.0/2.0","A=4(80-100), B=3(70-79), C=2(60-69)"
"284","","Chung Cheng Institute of Technology","","Taiwan","100/80/70/60","4.0/3.6/3.0/2.0","A = 80+ ; B = 70-79; C = 60-69"
"285","7215405","Chung Yuan Christian University","Chung-li","Taiwan","4.0/3.7/3.3/3.0/2.7/2.3/2.0","4.0/3.7/3.3/3.0/2.7/2.3/2.0","Check to see if scale matches US 4.0 scale. If so, it is OK to use that school's 4.0 CGPA"
"286","9802751","DEFAULT Taiwan","","Taiwan","100/85/84/75/65","4.0/3.6/3.5/3.0/2.0",""
"287","7124693","Feng Chia University","Taichung","Taiwan","4.0/3.7/3.3/3.0/2.7/2.3/2.0","4.0/3.7/3.3/3.0/2.7/2.3/2.0","Check to see if scale matches US 4.0 scale. If so, it is OK to use that school's 4.0 CGPA"
"288","7212404","Fujen Catholic University","Taiwan","Taiwan","100/80/70/60","4.0/3.6/3.0/2.0","A = 80-100; B = 70-79; C = 60-69"
"289","7232478","National Central University","Jhongli City","Taiwan","100/80/70/60","4.0/3.6/3.0/2.0","Check to see if scale matches US 4.0 scale. If so, it is OK to use that school's 4.0 CGPA"
"290","","National Changhua University of Education","","Taiwan","100/80/70/60","4.0/3.6/3.0/2.0","A = 80-100; B = 70-79; C = 60-69"
"353","","National Cheng Kung University - 100-point scale","Tainan","Taiwan","100/85/83/79/73/63","4.0/3.6/3.5/3.3/3.0/2.0","100-90=A+(4.3), 89-85=A(4.0), 84-80=A-(3.7), 79-77=B+(3.3), 76-73=B(3.0), 72-70=B-(2.7), 69-67=C+(2.3), 66-63=C(2.0)"
"291","","National Cheng Kung University - 4.0-scale","Tainan","Taiwan","4.0/3.7/3.3/3.0/2.7/2.3/2.0","4.0/3.7/3.3/3.0/2.7/2.3/2.0","Check to see if scale matches US 4.0 scale. If so, it is OK to use that school's 4.0 CGPA"
"292","7110546","National Chiao Tung University","Hsinehu","Taiwan","100/80/77/73/70/67/63","4.0/3.6/3.3/3.0/2.7/2.3/2.0","A+ = 90+ ; A = 85-89; A- = 80-84; B+ = 77-79; B = 73-76; B- = 70-72; C+ = 67-69; C = 63-66"
"378","","National Chung Cheng University","","Taiwan","100/90/80/70/60","4.0/3.6/3.3/3.0/2.0","90-100 = A+; 80-89 = A; 70-79 = B; 60-69 = C"
"293","","National Dong Hwa University","","Taiwan","4.5/4.0/3.5/3.0/2.5/2.0","4.0/3.7/3.3/3.0/2.3/2.0","4.5 Scale. If the student does NOT have A+ grades, use their CGPA. If student has A+ grades, type CGPA here."
"294","","National Sun Yat-Sen University","","Taiwan","4.3/4.0/3.0/2.0","4.0/3.7/3.0/2.0","4.3 Scale. If the student does NOT have A+ grades, use their CGPA. If student has A+ grades, type CGPA here."
"295","7114666","National Taipei University of Technology","Taipei","Taiwan","100/80/70/60","4.0/3.6/3.0/2.0","A = 80+ ; B = 70-79; C = 60-69"
"296","7110161","National Taiwan Normal University - After 2015","Taipei","Taiwan","","","If scale is A+ = 4.3; A = 4.0; A- = 3.7; B+ = 3.3; B = 3.0; B- = 2.7; C+ = 2.3; C = 2.0, then can take CGPA as-is"
"297","","National Taiwan Normal University - Before 2015","","Taiwan","100/80/70/60","4.0/3.6/3.0/2.0","A = 80-100; B = 70-79; C = 60-69"
"298","7113772","National Taiwan University","Taipei","Taiwan","4.3/4.0/3.0/2.0","4.0/3.7/3.0/2.0","If the student does NOT have A+ grades, use their CGPA. If student has A+ grades, type CGPA here."
"299","","National Taiwan University of Science and Technology","","Taiwan","4.0/3.7/3.3/3.0/2.7/2.3/2.0","4.0/3.7/3.3/3.0/2.7/2.3/2.0","Check to see if scale matches US 4.0 scale. If so, it is OK to use that school's 4.0 CGPA"
"300","7214702","National TsingHua University","Taipei","Taiwan","100/80/70/60","4.0/3.6/3.0/2.0","A = 80-100; B = 70-79; C = 60-69"
"301","","National University of Kaohsiung","","Taiwan","4.0/3.7/3.3/3.0/2.7/2.3/2.0","4.0/3.7/3.3/3.0/2.7/2.3/2.0","Check to see if scale matches US 4.0 scale. If so, it is OK to use that school's 4.0 CGPA"
"302","7210641","Tatung University","Taipei","Taiwan","100/80/70/60","4.0/3.6/3.0/2.0","A = 80-100; B = 70-79; C = 60-69"
"303","7210504","Yuan Ze University","Taoyuan County","Taiwan","4.0/3.7/3.3/3.0/2.7/2.3/2.0","4.0/3.7/3.3/3.0/2.7/2.3/2.0","Check to see if scale matches US 4.0 scale. If so, it is OK to use that school's 4.0 CGPA"
"304","7211625","Bilkent University","Ankara","Turkey","4.0/3.7/3.3/3.0/2.7/2.3/2.0","4.0/3.7/3.3/3.0/2.7/2.3/2.0","Check to see if scale matches US 4.0 scale. If so, it is OK to use that school's 4.0 CGPA"
"305","7110179","Bogazici University","Istanbul","Turkey","4.0/3.7/3.3/3.0/2.7/2.3/2.0","4.0/3.7/3.3/3.0/2.7/2.3/2.0","Check to see if scale matches US 4.0 scale. If so, it is OK to use that school's 4.0 CGPA"
"306","","DEFAULT Turkey - 10 Point Scale","","Turkey","10/9/8/7/6/5","4.0/3.6/3.5/3.0/2.9/2.0",""
"307","","DEFAULT Turkey - 100 Point Scale","","Turkey","100/85/84/70/69/50","4.0/3.6/3.5/3.0/2.9/2.0",""
"308","7113278","Middle East Technical University","Ankara","Turkey","4.0/3.7/3.3/3.0/2.7/2.3/2.0","4.0/3.7/3.3/3.0/2.7/2.3/2.0","Check to see if scale matches US 4.0 scale. If so, it is OK to use that school's 4.0 CGPA"
"309","","Sabanci University","","Turkey","4.0/3.7/3.3/3.0/2.7/2.3/2.0","4.0/3.7/3.3/3.0/2.7/2.3/2.0","Check to see if scale matches US 4.0 scale. If so, it is OK to use that school's 4.0 CGPA"
